,Unnamed: 0,questions,id,questions_preproc
30,30,Que se passe-t-il si le véhicule conduit par un préposé du titulaire du certificat d'immatriculation ou par un représentant de ce titulaire s,7,passe si véhicule conduit préposé titulaire certificat immatriculation représentant titulaire
31,31,Qu'est-ce qui n'est pas obstacle à la mise en œuvre et l exécution des mesures administratives de rétention et de suspension du permis de,8,obstacle miser œuvre exécution mesure administratif rétention suspension permis
32,32,Qu'est-ce qui ne rend pas obstacle à la mise en œuvre et l exécution des mesures administratives de rétention et de suspension du permis de conduire,8,rendre obstacle miser œuvre exécution mesure administratif rétention suspension permis conduire
33,33,"Qu'est-ce qui n'est pas obstacle à la mise en œuvre des mesures administratives de rétention et de suspension du permis de conduire, ou",8,obstacle miser œuvre mesure administratif rétention suspension permis conduire
34,34,Qu'est-ce qui ne rend pas obstacle à la mise en œuvre et l exécution des mesures administratives de rétention et de suspension de permis de conduire,8,rendre obstacle miser œuvre exécution mesure administratif rétention suspension permis conduire
35,35,"Qu'est-ce qui n'est pas obstacle à la mise en œuvre des mesures administratives de rétention et de suspension du permis de conduire, de",8,obstacle miser œuvre mesure administratif rétention suspension permis conduire
36,36,"Quand l infraction a été commise avec un véhicule dont le titulaire du certificat d'immatriculation est une personne morale, quel est le délai de recours?",9,quand infraction commettre véhicule dont titulaire certificat immatriculation personne morale quel délai recours
37,37,Que doit indiquer le représentant légal de la personne morale lors de l'envoi ou de la remise d'un avis de contravention?,9,doit indiquer représentant légal personne morale lors envoi remiser avis contravention
38,38,Que doit indiquer le représentant légal de la personne morale lors de l'envoi ou de la remise de l avis de contravention?,9,doit indiquer représentant légal personne morale lors envoi remiser avis contravention
39,39,Quel est le délai de quarante-cinq jours à compter de la remise de l avis de contravention?,9,quel délai quarante cinq jour compter remiser avis contravention
40,40,Quelle est la responsabilité du conducteur ou du gardien d un véhicule mentionné à l'article 1er?,10,quel responsabilité conducteur gardien véhicule mentionner article er
41,41,Quelle est la responsabilité du conducteur ou du gardien d un véhicule mentionné à l article 1er?,10,quel responsabilité conducteur gardien véhicule mentionner article er
42,42,Quelle est la responsabilité du conducteur ou du gardien du véhicule mentionné à l article 1er?,10,quel responsabilité conducteur gardien véhicule mentionner article er
43,43,Au conducteur qui ne respecte pas les conditions prévues au II de l article L. 319-3 peut être poursuivi pour ne pas avoir exercé le contrôle dynamique,11,conducteur respecter condition prévoir ii article pouvoir être poursuivre avoir exercé contrôle dynamique
44,44,Au conducteur qui ne respecte pas les conditions prévues au II de l article L. 319-3 peut être poursuivi pour ne pas avoir réalisé le contrôle dynamique,11,conducteur respecter condition prévoir ii article pouvoir être poursuivre avoir réalisé contrôle dynamique
45,45,Au conducteur qui ne respecte pas les conditions prévues au II de l article L. 319-3 qui peut être poursuivi pour infraction à un système de conduite,11,conducteur respecter condition prévoir ii article pouvoir être poursuivre infraction système conduite
46,46,Au conducteur qui ne respecte pas les conditions prévues au II de l article L. 319-3 peut être poursuivi pour ne pas avoir effectué le contrôle dynamique,11,conducteur respecter condition prévoir ii article pouvoir être poursuivre avoir effectuer contrôle dynamique
47,47,Au conducteur qui ne respecte pas les conditions prévues au II de l article L. 319-3 peut être poursuivi en vertu de l'article L.,11,conducteur respecter condition prévoir ii article pouvoir être poursuivre vertu article
48,48,Qu'est-ce que le constructeur du véhicule ou son mandataire est responsable de?,12,constructeur véhicule mandataire responsable
49,49,Qu'est-ce que le constructeur du véhicule ou son mandataire?,12,constructeur véhicule mandataire
50,50,Qu'est-ce qui est responsable de l'amende?,12,responsable amende
51,51,Quel est le montant de l'amende pouvant être prononcée?,12,quel montant amende pouvoir être prononcé
52,52,"Qui peut constater les contraventions au présent code en application de l article L. 130-4, à l occasion des contrôles des véhicules et de leurs conducteurs?",13,pouvoir constater contravention présent code application article occasion contrôle véhiculer son conducteur
53,53,"Qui peut constater les contraventions au présent code en application de l article L. 130-4, à l occasion de contrôles des véhicules et de leurs conducteurs?",13,pouvoir constater contravention présent code application article occasion contrôle véhiculer son conducteur
54,54,Qu'est-ce que le constructeur du véhicule ou son mandataire?,13,constructeur véhicule mandataire
55,55,Qu'est-ce qui définit les modalités d application du présent chapitre?,14,définir modalité application présent chapitre
56,56,Qu est-ce qui définit les modalités d application du présent chapitre?,14,définir modalité application présent chapitre
57,57,Qu'est-ce que le décret en Conseil d'Etat?,14,décret conseil état
58,58,Quels sont les fonctionnaires du corps de commandement et d encadrement de la police nationale appelés?,15,quel fonctionnaire corps commandement encadrement police nationale appelé
59,59,Quels sont les fonctionnaires du corps de commandement et d encadrement de la police nationale?,15,quel fonctionnaire corps commandement encadrement police nationale
60,60,Qui peut rechercher et constater les infractions au présent code?,15,pouvoir rechercher constater infraction présent code
61,61,Quels sont les pouvoirs des fonctionnaires mentionnés à l'article L. 130-1?,16,quel pouvoir fonctionnaire mentionner article
62,62,Quel est le statut des fonctionnaires mentionnés à l'article L. 130-1?,16,quel statut fonctionnaire mentionner article
63,63,Quelle est la position des fonctionnaires mentionnés à l'article L. 130-1?,16,quel position fonctionnaire mentionner article
64,64,Quels sont les pouvoirs des fonctionnaires mentionnés à l article L. 130-1?,16,quel pouvoir fonctionnaire mentionner article
65,65,"Sous le contrôle de la chambre de l instruction, sous quelle surveillance sont placés les fonctionnaires du corps de commandement de la police nationale?",17,sous contrôle chambre instruction sous quel surveillance placé fonctionnaire corps commandement police nationale
66,66,"Sous la surveillance du procureur général et sous le contrôle de la chambre de l'instruction, qui exerce les fonctions de police judiciaire?",17,sous surveillance procureur général sous contrôle chambre instruction exercer fonction police judiciaire
67,67,"Sous la surveillance du procureur général et sous le contrôle de la chambre de l instruction, qui exerce les fonctions de police judiciaire?",17,sous surveillance procureur général sous contrôle chambre instruction exercer fonction police judiciaire
68,68,Sous le contrôle de quelle chambre de l instruction les fonctionnaires du corps de commandement de la police nationale sont-ils placés?,17,sous contrôle quel chambre instruction fonctionnaire corps commandement police nationale placé
69,69,Qui sont les agents agréés par le procureur de la République?,18,agent agréé procureur république
70,70,Qui peut dresser procès-verbal pour les contraventions?,18,pouvoir dresser procès verbal contravention
71,71,Qui peut dresser procès-verbal des contraventions?,18,pouvoir dresser procès verbal contravention
72,72,Qui peut dresser procès verbalement des contraventions?,18,pouvoir dresser procès verbalement contravention
73,73,Qu'est-ce que les articles 511-1 et 512-2 du code de la sécurité intérieure fixent?,19,article code sécurité intérieur fixer
74,74,Qu'est-ce que les articles 511-1 et 512-2 du code de la sécurité intérieure?,19,article code sécurité intérieur
75,75,Qu'est-ce qui fixe les règles relatives à la constatation des contraventions au présent code?,19,fixe règle relatif constatation contravention présent code
76,76,Qu'est-ce qui définit les règles relatives à la constatation des contraventions au présent code?,19,définir règle relatif constatation contravention présent code
77,77,Qu'est-ce que le chronotachygraphe?,20,chronotachygraphe
78,78,Qu'est ce que le chronotachygraphe?,20,chronotachygraphe
79,79,Quel est le nom de l'appareil de contrôle?,20,quel nom appareil contrôle
80,80,Comment s'appelle l'appareil de contrôle?,20,comment appeler appareil contrôle
81,81,Que peut-on renouveler en cas de changement de lieu d affectation de l intéressé?,21,pouvoir renouveler cas changement lieu affectation intéressé
82,82,Que peut-on renouveler en cas de changement de lieu d affectation de l agent?,21,pouvoir renouveler cas changement lieu affectation agent
83,83,Que peut-on renouveler en cas de changement de lieu d affectation?,21,pouvoir renouveler cas changement lieu affectation
84,84,Quelle est la validité du serment prêté devant le juge du tribunal judiciaire?,21,quel validité serment prêté devant juge tribunal judiciaire
85,85,Quelle est la validité du serment prêté par les agents?,21,quel validité serment prêté agent
86,86,"Qu'est ce que les agents de la concurrence, de la consommation et de la répression des fraudes?",22,agent concurrence consommation répression fraude
87,87,"Quel est le pouvoir des agents de la concurrence, de la consommation et de la répression des fraudes?",22,quel pouvoir agent concurrence consommation répression fraude
88,88,"Quel pouvoir exerce les agents de la concurrence, de la consommation et de la répression des fraudes?",22,quel pouvoir exercer agent concurrence consommation répression fraude
89,89,"Que peuvent rechercher les agents de la concurrence, de la consommation et de la répression des fraudes?",22,pouvoir rechercher agent concurrence consommation répression fraude
90,90,Quelle est la durée maximale de conservation des données à caractère personnel lorsque ces constatations font l objet d'un traitement automatisé?,23,quel durée maximale conservation donnée caractère personnel lorsque constatation faire objet traitement automatisé
91,91,Quelle est la durée maximale de conservation des données à caractère personnel lorsque ces constatations font l objet d un traitement automatisé?,23,quel durée maximale conservation donnée caractère personnel lorsque constatation faire objet traitement automatisé
92,92,Quelle est la durée maximale de conservation des données à caractère personnel?,23,quel durée maximale conservation donnée caractère personnel
93,93,Quel est le délai maximal de conservation des données à caractère personnel?,23,quel délai maximal conservation donnée caractère personnel
94,94,Quelle est la durée maximale de conservation des données?,23,quel durée maximale conservation donnée
95,95,Quel dispositif peut être mis en place par les services de police et de gendarmerie nationales pour faciliter la constatation des infractions au présent code?,24,quel dispositif pouvoir être mettre place service police gendarmerie nationale faciliter constatation infraction présent code
96,96,Quel dispositif peut être mis en place par les services de police et de gendarmerie nationales en cas de violation des règles de circulation?,24,quel dispositif pouvoir être mettre place service police gendarmerie nationale cas violation règle circulation
97,97,Quel dispositif peut être mis en place par les services de police et de gendarmerie nationales?,24,quel dispositif pouvoir être mettre place service police gendarmerie nationale
98,98,Quel est le but des dispositifs de contrôle automatisé des données signalétiques des véhicules?,24,quel but dispositif contrôle automatisé donnée signalétique véhiculer
99,99,Qu'est-ce que les traitements automatisés des données à caractère personnel?,25,traitement automatisé donnée caractère personnel
100,100,Qu'est-ce qui peut compacter le poids maximal autorisé des véhicules?,25,pouvoir compacter poids maximal autorisé véhiculer
101,101,Quel est le traitement automatisé des données signalétiques des véhicules?,25,quel traitement automatisé donnée signalétique véhiculer
102,102,Quelle est la nature des traitements automatisés des données?,25,quel nature traitement automatisé donnée
103,103,Qu'est-ce que le service électronique d aide à la conduite?,26,service électronique aide conduite
104,104,Qu'est-ce que le Conseil national de la sécurité routière?,26,conseil national sécurité routière
105,105,Qu'est-ce que le conseil national de la sécurité routière?,26,conseil national sécurité routière
106,106,Que peut interdire l autorité administrative à tout exploitant d un service d'aide à la conduite ou à la navigation par géolocalisation de rediffuser au moyen,27,pouvoir interdire autorité administratif tout exploitant service aide conduite navigation géolocalisation rediffuser moyen
107,107,Qu'est-ce qui est interdit par l autorité administrative à tout exploitant d un service d'aide à la conduite ou à la navigation par géolocalisation,27,interdire autorité administratif tout exploitant service aide conduite navigation géolocalisation
108,108,Que peut interdire l autorité administrative à tout exploitant d un service de navigation par géolocalisation de rediffuser au moyen de ce service?,27,pouvoir interdire autorité administratif tout exploitant service navigation géolocalisation rediffuser moyen service
109,109,Que peut interdire l autorité administrative à tout exploitant d un service d'aide à la conduite ou à la navigation par géolocalisation?,27,pouvoir interdire autorité administratif tout exploitant service aide conduite navigation géolocalisation
110,110,Quel est le délit puni de deux ans d emprisonnement et de 30 000  d amende pour tout exploitant d un service d aide à la conduite,28,quel délit puni deux an emprisonnement amende tout exploitant service aide conduite
111,111,Quel est le délit puni de deux ans d emprisonnement et de 30 000  d amende pour tout exploitant d un service de navigation par géolocalisation?,28,quel délit puni deux an emprisonnement amende tout exploitant service navigation géolocalisation
112,112,Quel est le délit puni de deux ans d emprisonnement et de 30 000  d amende pour un service de navigation par géolocalisation?,28,quel délit puni deux an emprisonnement amende service navigation géolocalisation
113,113,Qu'est-ce que l'interdiction de diffusion mentionnée à l'article L. 130-11?,28,interdiction diffusion mentionner article
114,114,Quel est le délit puni de deux ans d emprisonnement et de 30 000  d amende?,28,quel délit puni deux an emprisonnement amende
115,115,"Qu'est - ce qu'une chambre de l instruction par "" tribunal supérieur d'appel ""?",29,chambre instruction tribunal supérieur appel
116,116,"Quel est le terme utilisé pour désigner la chambre de l instruction par "" tribunal supérieur d'appel ""?",29,quel terme utiliser désigner chambre instruction tribunal supérieur appel
117,117,"Quel est le terme utilisé pour désigner la chambre de l instruction par "" tribunal supérieur d appel ""?",29,quel terme utiliser désigner chambre instruction tribunal supérieur appel
118,118,"Qu'est - ce qu'une chambre de l instruction par "" tribunal supérieur d appel ""?",29,chambre instruction tribunal supérieur appel
119,119,Qu'est - ce qu'un tribunal supérieur d'appel?,29,tribunal supérieur appel
120,120,Quel article L. 130-5 ne s applique pas à Saint-Pierre-et-Miquelon?,30,quel article applique saint pierre miquelon
121,121,Qu'est-ce que l'article L. 130-5 ne s'applique pas à Mayotte?,30,article applique mayotte
122,122,Qu'est-ce que l'article L. 130-5?,30,article
123,123,Quel article L. 130-5 n'est pas applicable à Mayotte?,30,quel article applicable mayotte
124,124,Que dit l'article L. 130-5 à Mayotte?,30,dit article mayotte
125,125,Comment s'appelle la chambre d'appel et chambre de l'instruction de la cour d'appel de Mayotte?,31,comment appeler chambre appel chambre instruction cour appel mayotte
126,126,Quel est le terme utilisé pour désigner la chambre de l'instruction de la cour d'appel de Mamoudzou?,31,quel terme utiliser désigner chambre instruction cour appel mamoudzou
127,127,Comment s'appelle la chambre d'appel et chambre de l instruction de la cour d'appel de Mayotte?,31,comment appeler chambre appel chambre instruction cour appel mayotte
128,128,Les dispositions législatives du présent livre sont applicables à Mayotte à l exception des articles L. 110-2 et L. 130-5.,32,disposition législatif présent livre applicable mayotte exception article
129,129,Les dispositions législatives du présent livre ne sont pas applicables à Mayotte?,32,disposition législatif présent livre applicable mayotte
130,130,Les dispositions législatives du présent livre sont applicables à Mayotte?,32,disposition législatif présent livre applicable mayotte
132,132,Quelles sont les dispositions législatives applicables à Mayotte?,32,quel disposition législatif applicable mayotte
133,133,Qui sont les agents verbalisateurs compétents à Mayotte?,33,agent verbalisateurs compétent mayotte
134,134,Qui sont les agents verbalisateurs compétents pour Mayotte?,33,agent verbalisateurs compétent mayotte
135,135,Qui sont assermentés à Mayotte?,33,assermenté mayotte
136,136,"Dans les îles Wallis et Futuna, quelle est l'applicabilité du présent code?",34,île wallis futuna quel applicabilité présent code
137,137,Quelle est la nouvelle rédaction de l article L. 130-4 en Nouvelle-Calédonie?,34,quel nouveau rédaction article nouveau calédonie
138,138,"Dans les îles Wallis et Futuna, quelle est la situation de Mayotte?",34,île wallis futuna quel situation mayotte
139,139,Quelle est la nouvelle rédaction de l article L. 130-4 à Mayotte?,34,quel nouveau rédaction article mayotte
140,140,"Sous réserve des adaptations prévues au II du présent article, les articles du présent code sont applicables dans les îles Wallis et Futuna dans leur rédaction?",35,sous réserve adaptation prévoir ii présent article article présent code applicable île wallis futuna rédaction
141,141,"Sous réserve des adaptations prévues au II du présent article, les articles du présent code mentionnés dans la colonne de gauche du tableau ci-après sont applicables",35,sous réserve adaptation prévoir ii présent article article présent code mentionner colonne gauche tableau ci après applicable
142,142,"Sous réserve des adaptations prévues au II du présent article, les articles du présent code sont applicables dans les îles Wallis et Futuna?",35,sous réserve adaptation prévoir ii présent article article présent code applicable île wallis futuna
143,143,Dans leur rédaction résultant de quel article les articles du présent code sont-ils applicables?,35,rédaction résultant quel article article présent code applicable
144,144,Dans leur rédaction résultant de quel article sont applicables les articles du présent code?,35,rédaction résultant quel article applicable article présent code
145,145,Qu'est-ce qui permet aux agents de police judiciaire de constater les contraventions?,36,permettre agent police judiciaire constater contravention
146,146,Que peuvent constater les agents des communes de la Nouvelle-Calédonie en matière de stationnement?,36,pouvoir constater agent commune nouveau calédonie matière stationnement
147,147,Que peuvent constater les agents de police judiciaire de la Nouvelle-Calédonie?,36,pouvoir constater agent police judiciaire nouveau calédonie
148,148,Que peuvent constater les agents des communes de la Nouvelle-Calédonie?,36,pouvoir constater agent commune nouveau calédonie
149,149,Qu'est-ce que le conducteur?,36,conducteur
150,150,Quelle est la durée de l interdiction prononcée par le représentant de l'Etat dans le département en cas de violence?,37,quel durée interdiction prononcé représentant état département cas violence
151,151,Quelle est la durée de l interdiction prononcée par le représentant de l'Etat dans le département qui a été commise?,37,quel durée interdiction prononcé représentant état département commettre
152,152,Que peut faire le représentant de l'Etat dans le département où l infraction a été commise?,37,pouvoir faire représentant état département où infraction commettre
153,153,Quelle est la durée de l interdiction prononcée par le représentant de l'Etat dans le département?,37,quel durée interdiction prononcé représentant état département
154,154,Quelle est la durée de l interdiction prononcée par le représentant de l Etat dans le département?,37,quel durée interdiction prononcé représentant état département
155,155,Que peut décider la juridiction en cas de délits de violences ou d outrage?,38,pouvoir décider juridiction cas délit violence outrage
156,156,Que peut décider la juridiction de ne pas prononcer la peine complémentaire?,38,pouvoir décider juridiction prononcer peine complémentaire
157,157,Que peut décider la juridiction de ne pas prononcer cette peine?,38,pouvoir décider juridiction prononcer ce peine
158,158,Que peut décider la juridiction en cas de délits de violences?,38,pouvoir décider juridiction cas délit violence
159,159,Que peut décider la juridiction de ne pas prononcer?,38,pouvoir décider juridiction prononcer
160,160,Que renseignent les candidats aux examens du permis de conduire ayant choisi l'apprentissage défini à l article L. 211-6?,39,renseigner candidat examen permis conduire choisi apprentissage défini article
161,161,Que renseignent les candidats aux examens du permis de conduire ayant choisi l apprentissage défini à l article L. 211-6?,39,renseigner candidat examen permis conduire choisi apprentissage défini article
162,162,Qu'est-ce que les candidats aux examens du permis de conduire doivent renseigner?,39,candidat examen permis conduire devoir renseigner
163,163,Qu'est-ce qui définit les conditions minimales de distance et de durée minimale?,40,définir condition minimal distance durée minimal
164,164,Qu'est-ce qui définit les conditions minimales de distance et de durée minimales?,40,définir condition minimal distance durée minimal
165,165,Quelle est la durée minimale de l'apprentissage anticipé de la conduite?,40,quel durée minimal apprentissage anticipé conduite
166,166,Qu'est-ce que l'apprentissage anticipé de la conduite?,40,apprentissage anticipé conduite
167,167,Quelle est la durée de l'apprentissage de conduite supervisée par un accompagnateur?,41,quel durée apprentissage conduite superviser accompagnateur
168,168,Quelle est la durée de l'apprentissage en conduite supervisée par un accompagnateur?,41,quel durée apprentissage conduite superviser accompagnateur
169,169,Qu'est-ce que l'apprentissage en conduite supervisée des véhicules légers?,41,apprentissage conduite superviser véhiculer léger
170,170,Quelle est la durée de l'apprentissage en conduite supervisée des véhicules légers?,41,quel durée apprentissage conduite superviser véhiculer léger
171,171,Qu'est-ce qui permet aux personnes de conduire encadrée?,42,permettre personne conduire encadrer
172,172,Qu'est-ce qui permet aux personnes de conduire encadré?,42,permettre personne conduire encadré
173,173,Qu'est-ce que la conduite encadrée?,42,conduite encadrer
174,174,Quelle est la durée de la conduite encadrée?,42,quel durée conduite encadrer
175,175,"Dans les périodes de conduite accompagnée définie aux articles L. 211-3 à L. 211-5, l apprentissage de la conduite des véhicules légers sur la voie publique peut être effectué sur un véhicule répondant à des prescriptions particulières?",43,période conduite accompagné défini article apprentissage conduite véhiculer léger voie public pouvoir être effectuer véhicule répondant prescription particulier
176,176,"Dans les périodes de conduite accompagnée définies aux articles L. 211-3 à L. 211-5, l apprentissage de la conduite des véhicules légers sur la voie publique peut être effectué sur un véhicule répondant à des prescriptions particulières?",43,période conduite accompagné défini article apprentissage conduite véhiculer léger voie public pouvoir être effectuer véhicule répondant prescription particulier
177,177,"Dans les périodes de conduite accompagnée définies aux articles L. 211-3 à L. 211-5, l apprentissage de la conduite des véhicules légers sur la voie",43,période conduite accompagné défini article apprentissage conduite véhiculer léger voie
178,178,"Dans les périodes de conduite accompagnée définie aux articles L. 211-3 à L. 211-5, l apprentissage de la conduite des véhicules légers sur la voie",43,période conduite accompagné défini article apprentissage conduite véhiculer léger voie
179,179,Qu est-ce que le décret définit les conditions d application du présent chapitre?,44,décret définir condition application présent chapitre
180,180,Qu est-ce qui définit les conditions d application du présent chapitre?,44,définir condition application présent chapitre
181,181,Quelle est la nature des stages de sensibilisation à la sécurité routière?,44,quel nature stage sensibilisation sécurité routière
182,182,Quel décret définit les conditions d application du présent chapitre?,44,quel décret définir condition application présent chapitre
183,183,"Quand un professionnel fournit pour la première fois une prestation en France, qu'informe-t-il au préalable?",45,quand professionnel fournir premier fois prestation france informe préalable
184,184,"Quand un professionnel fournit pour la première fois une prestation en France, qu'informe-t-il au public?",45,quand professionnel fournir premier fois prestation france informe public
185,185,Que doit faire un professionnel lorsqu'il fournit pour la première fois une prestation en France?,45,doit faire professionnel lorsqu fournir premier fois prestation france
186,186,Qui informe le professionnel lorsqu'il fournit pour la première fois une prestation en France?,45,informe professionnel lorsqu fournir premier fois prestation france
187,187,Qu'est-ce qui interdit à un enseignant de conduire des véhicules à moteur d une catégorie donnée et de la sécurité routière?,46,interdire enseignant conduire véhiculer moteur catégorie donner sécurité routière
188,188,Qu'est-ce qui interdit à un enseignant de conduire un véhicule à moteur d une catégorie donnée et de la sécurité routière?,46,interdire enseignant conduire véhicule moteur catégorie donner sécurité routière
189,189,Qu'est-ce qui interdit à un enseignant de conduire des véhicules à moteur d une catégorie donnée et la sécurité routière?,46,interdire enseignant conduire véhiculer moteur catégorie donner sécurité routière
190,190,Que se passe-t-il lorsque les procès-verbaux d infractions correspondant à des faits mentionnés à l alinéa précédent sont établis?,47,passe lorsque procès verbal infraction correspondant fait mentionner alinéa précédent établi
191,191,Que se passe-t-il lorsque des procès-verbaux d infractions correspondant à des faits mentionnés à l alinéa précédent sont établis?,47,passe lorsque procès verbal infraction correspondant fait mentionner alinéa précédent établi
192,192,Que se passe-t-il après la suspension de l'autorisation?,47,passe après suspension autorisation
193,193,Que se passe-t-il lorsque les PV sont établis?,47,passe lorsque pv établi
194,194,Que se passe-t-il après la suspension provisoire?,47,passe après suspension provisoire
195,195,Qu est-ce que l interdiction d exercer l activité professionnelle dans l exercice ou à l occasion de l exercice de laquelle l infraction a été commise?,48,interdiction exercer activité professionnel exercice occasion exercice lequel infraction commettre
196,196,Qu est-ce que l interdiction d exercer l activité professionnelle dans l exercice ou à l occasion de l'exercice de laquelle l infraction a été commise,48,interdiction exercer activité professionnel exercice occasion exercice lequel infraction commettre
197,197,Qu est-ce que l interdiction d exercer l activité professionnelle dans l exercice ou à l occasion de l exercice de laquelle l infraction a été commise entraîne,48,interdiction exercer activité professionnel exercice occasion exercice lequel infraction commettre entraîner
198,198,Qu est-ce que l interdiction d exercer l activité professionnelle dans l exercice ou à l occasion de l acte de laquelle l infraction a été commise?,48,interdiction exercer activité professionnel exercice occasion acte lequel infraction commettre
199,199,Qu est-ce que le décret en Conseil d Etat détermine les conditions d application?,49,décret conseil état déterminer condition application
200,200,Qu est-ce qui définit les conditions d application du présent chapitre?,49,définir condition application présent chapitre
201,201,Que détermine le décret en Conseil d Etat?,49,déterminer décret conseil état
202,202,Quelle est la proportion maximale des personnes en cours de formation mentionnées au 3 du I de l article L. 212-2?,50,quel proportion maximale personne cours formation mentionner article
203,203,Quelle est la proportion maximale de personnes en cours de formation mentionnées au 3 du I de l article L. 212-2?,50,quel proportion maximale personne cours formation mentionner article
204,204,Quelle est la proportion maximale des personnes en cours de formation mentionnées au 3 du 1 de l article L. 212-2?,50,quel proportion maximale personne cours formation mentionner article
205,205,Quelle proportion maximale des personnes en cours de formation mentionnées au 3 du I de l article L. 212-2 est déterminée?,50,quel proportion maximale personne cours formation mentionner article déterminé
206,206,Quelle est la proportion maximale de personnes en cours de formation mentionnées au 3 du 1 de l article L. 212-2?,50,quel proportion maximale personne cours formation mentionner article
207,207,Qu'est - ce qu'une mesure de compensation reviendrait à imposer au demandeur de suivre le programme complet d enseignement requis?,51,mesure compensation revenir imposer demandeur suivre programme complet enseignement requis
208,208,Qu'est - ce qu'une mesure de compensation reviendrait à imposer au demandeur de suivre le programme complet d enseignement?,51,mesure compensation revenir imposer demandeur suivre programme complet enseignement
209,209,Qu'est - ce qu'une mesure de compensation reviendrait à imposer au demandeur de suivre un programme complet d enseignement?,51,mesure compensation revenir imposer demandeur suivre programme complet enseignement
